"corporate.payment...2.";"corporate.payment...4."
2010-01-09;32.9
2010-01-09;426.46
2010-01-09;95.53
2010-01-09;50.49
2010-01-09;53.64
2010-01-09;50.45
2010-01-09;30.18
2010-01-09;47.42
2010-01-09;43.25
2010-01-09;64.14
2010-01-09;40.28
2010-01-09;37.76
2010-01-09;82.06
2010-01-09;36.52
2010-01-09;38.44
2010-01-09;136.29
2010-01-09;42.29
2010-01-09;46.35
2010-01-09;9027.43
2010-01-09;85.11
2010-01-09;38.62
2010-01-09;87.83
2010-01-09;58.77
2010-01-09;43.93
2010-01-09;182.82
2010-01-09;29.22
2010-01-09;53.59
2010-01-09;55.05
2010-01-09;37.57
2010-01-09;59.22
2010-01-09;43.04
2010-01-09;55.93
2010-01-09;52.75
2010-01-09;50.27
2010-01-09;65.76
2010-01-09;122.55
2010-01-09;92.9
2010-01-09;85091.91
2010-01-09;38.18
2010-01-09;30.23
2010-01-09;82.83
2010-01-09;33.53
2010-01-09;40.55
2010-01-09;64.2
2010-01-09;37.57
2010-01-09;61.31
2010-01-09;25.75
2010-01-09;37.26
2010-01-09;36.9
2010-01-09;33.21
2010-01-09;45.24
2010-01-09;58.63
2010-01-09;139.61
2010-01-09;42.91
2010-01-09;105.03
2010-01-09;76.07
2010-01-09;53.41
2010-01-09;32.91
2010-01-09;68.25
2010-01-09;48.12
2010-01-09;36.58
2010-01-09;29.52
2010-01-09;51.11
2010-01-09;37.31
2010-01-11;20824.92
2010-01-11;420.66
2010-01-12;19.12
2010-01-12;10832.8
2010-01-12;11519.89
2010-01-14;11895.65
2010-01-14;311.07
2010-01-15;144.77
2010-01-15;8406.94
2010-01-15;4966.33
2010-01-15;16049.54
2010-01-16;16768.12
2010-01-16;6546.47
2010-01-16;12872.48
2010-01-17;3.94
2010-01-18;15138.6
2010-01-18;3483.28
2010-01-19;8536.84
2010-01-19;8697.58
2010-01-20;155.8
2010-01-20;13839.47
2010-01-20;1899.69
2010-01-20;13574.25
2010-01-20;17601.53
2010-01-20;11529.28
2010-01-20;14254.19
2010-01-20;14272.03
2010-01-20;13122.7
2010-01-20;5569.7
2010-01-20;11348.96
2010-01-20;13799.03
2010-01-20;88.99
2010-01-20;8317.56
2010-01-20;512.73
2010-01-20;726.07
2010-01-20;18068.73
2010-01-20;12896.58
2010-01-20;11999.26
2010-01-21;5170.57
2010-01-23;9251.32
2010-01-25;16871.6
2010-01-26;12419.87
2010-01-26;7749.34
2010-01-26;10810.34
2010-01-26;7605.02
2010-01-26;233.33
2010-01-26;1235.81
2010-01-26;536.04
2010-01-26;8277.77
2010-01-26;9640.08
2010-01-26;17591.62
2010-01-26;705.17
2010-01-26;11185.38
2010-01-26;76.98
2010-01-26;10727.74
2010-01-26;26062.42
2010-01-26;4247.08
2010-01-26;459.6
2010-01-26;3151.62
2010-01-26;15731.69
2010-01-26;8589.76
2010-01-26;9748.29
2010-01-26;3288.03
2010-01-26;69.88
2010-01-27;9008.24
2010-01-27;18949.24
2010-01-27;17516.7
2010-01-28;9484.81
2010-01-29;108.93
2010-01-29;7996.37
2010-01-29;582.87
2010-01-29;4043.84
2010-01-29;1892.95
2010-01-30;6319.83
2010-02-01;24487.89
2010-02-02;10678.36
2010-02-02;7986.49
2010-02-03;15645.88
2010-02-04;11543.2
2010-02-06;9.33
2010-02-08;18863.95
2010-02-09;9073.16
2010-02-10;7570.4
2010-02-11;436.67
2010-02-11;9848.98
2010-02-12;4519.03
2010-02-12;8074.16
2010-02-12;150.3
2010-02-12;283969.14
2010-02-13;5953.96
2010-02-13;7196.17
2010-02-16;27248.93
2010-02-17;6969.25
2010-02-17;10267.34
2010-02-17;15590.19
2010-02-18;6750.28
2010-02-19;7272.4
2010-02-19;11826.06
2010-02-19;15290.43
2010-02-19;13423.81
2010-02-19;10964.91
2010-02-19;8895.5
2010-02-19;7088.6
2010-02-19;9747.9
2010-02-19;102.92
2010-02-19;11856.38
2010-02-19;11974.43
2010-02-19;8752.21
2010-02-19;8681.86
2010-02-19;12204.24
2010-02-19;665.65
2010-02-19;2378.89
2010-02-19;4449.46
2010-02-19;3874.37
2010-02-19;6397.25
2010-02-19;6251.18
2010-02-19;13504.61
2010-02-19;5340.76
2010-02-20;14153.07
2010-02-22;17041.69
2010-02-23;6710.74
2010-02-23;9509.52
2010-02-23;9538
2010-02-24;680.04
2010-02-24;8090.03
2010-02-24;11851.19
2010-02-25;8367.63
2010-02-25;8019.67
2010-02-25;52.28
2010-02-25;3348.51
2010-02-25;213.23
2010-02-25;7408.26
2010-02-25;500.07
2010-02-25;21386.98
2010-02-25;7538.5
2010-02-25;9671.13
2010-02-25;8066.84
2010-02-25;651.28
2010-02-25;10203.4
2010-02-25;10904.29
2010-02-25;10611.28
2010-02-25;65.47
2010-02-25;4321.17
2010-02-25;491.79
2010-02-25;2932.82
2010-02-25;12028.16
2010-02-25;13612.14
2010-02-25;7839.87
2010-02-25;7217.98
2010-02-26;11279.82
2010-02-26;9073.97
2010-02-27;18702.61
2010-02-27;3829.79
2010-03-01;21295.54
2010-03-02;9847.34
2010-03-02;8450.9
2010-03-02;1892.03
2010-03-02;4201.24
2010-03-02;591.39
2010-03-02;14510.55
2010-03-02;11486.26
2010-03-03;8041.49
2010-03-03;6353.95
2010-03-03;8317.78
2010-03-04;8594.47
2010-03-05;60648.75
2010-03-07;3877.43
2010-03-08;8742.69
2010-03-09;15890.33
2010-03-09;10289.05
2010-03-09;10973.15
2010-03-10;8253.09
2010-03-10;8233.34
2010-03-11;7910.76
2010-03-13;16670.17
2010-03-13;13134.93
2010-03-15;16967.15
2010-03-16;8354.33
2010-03-16;18776.57
2010-03-16;4773.66
2010-03-17;8087.25
2010-03-17;8774.37
2010-03-17;7910.57
2010-03-17;158.6
2010-03-17;6616.53
2010-03-18;10464.15
2010-03-18;13449.54
2010-03-18;12071.38
2010-03-19;463.66
2010-03-19;1148.04
2010-03-22;10252.01
2010-03-22;17132.48
2010-03-22;1348.57
2010-03-23;8265.47
2010-03-23;13798.92
2010-03-24;7987.7
2010-03-24;6665.57
2010-03-24;6717.31
2010-03-24;4732.98
2010-03-24;8925.59
2010-03-25;8327.23
2010-03-25;6128
2010-03-25;9481.86
2010-03-26;6235.75
2010-03-26;4948.02
2010-03-26;46.19
2010-03-26;3141.4
2010-03-26;11400.72
2010-03-26;4119.16
2010-03-29;16924.21
2010-03-30;9494.45
2010-03-30;9684.98
2010-03-30;7775.23
2010-03-30;8370.87
2010-03-30;63.93
2010-03-30;9762
2010-03-30;4107.55
2010-03-30;466.22
2010-03-30;2840.27
2010-03-30;7173.53
2010-03-30;221.26
2010-03-30;9666.32
2010-03-30;7834.29
2010-03-30;9197.51
2010-03-30;679.49
2010-03-30;10539.68
2010-03-30;11698.77
2010-03-30;12908.49
2010-03-30;34658.78
2010-03-30;8837.28
2010-03-30;14978.22
2010-03-30;518.06
2010-03-31;11158.06
2010-03-31;518.55
2010-03-31;8096.25
2010-03-31;591.56
2010-03-31;2037.02
2010-03-31;4484.94
2010-03-31;12989.13
2010-03-31;492.43
2010-04-01;8385.59
2010-04-01;6148.33
2010-04-01;8621.75
2010-04-02;7967.16
2010-04-03;32089.92
2010-04-05;17704.42
2010-04-06;8291.58
2010-04-06;3902.97
2010-04-07;8572.72
2010-04-07;8164.3
2010-04-08;6746.7
2010-04-08;10603
2010-04-08;47.73
2010-04-09;112.75
2010-04-12;13816.51
2010-04-13;8683.85
2010-04-13;16122.41
2010-04-14;7867.02
2010-04-14;8156.14
2010-04-14;17871.5
2010-04-14;4562.88
2010-04-14;55589.32
2010-04-14;820.58
2010-04-14;3877.35
2010-04-14;2006.93
2010-04-15;14155.39
2010-04-15;6685.38
2010-04-15;13208.45
2010-04-15;7448.29
2010-04-15;12333.03
2010-04-17;401.9
2010-04-17;6255
2010-04-19;16082.36
2010-04-20;6521.71
2010-04-20;2029.65
2010-04-20;13917.02
2010-04-20;13916.79
2010-04-20;15158.46
2010-04-20;12784.18
2010-04-20;9441.89
2010-04-20;494.79
2010-04-20;751.27
2010-04-20;3884.74
2010-04-20;12127.38
2010-04-20;100.12
2010-04-20;3573.96
2010-04-21;7335.87
2010-04-21;14840.75
2010-04-21;6713.25
2010-04-23;6468.02
2010-04-23;9868.59
2010-04-24;54.99
2010-04-24;3220.15
2010-04-24;54.99
2010-04-24;9707.86
2010-04-24;4068.84
2010-04-24;5833.8
2010-04-24;3574.25
2010-04-26;14817.68
2010-04-26;15029.16
2010-04-26;11436.89
2010-04-27;7673.14
2010-04-27;7222.24
2010-04-28;8016.9
2010-04-28;1988.84
2010-04-28;9489.66
2010-04-28;5112.87
2010-04-29;7158.04
2010-04-29;8196.69
2010-04-29;77.05
2010-04-29;9491.18
2010-04-29;4054.45
2010-04-29;456.26
2010-04-29;2850.18
2010-04-29;7252.53
2010-04-29;227.79
2010-04-29;10041.72
2010-04-29;8136.83
2010-04-29;9570.8
2010-04-29;532.69
2010-04-29;9947.15
2010-04-29;10464.57
2010-04-29;13148.74
2010-04-29;14806.42
2010-04-29;9745.43
2010-04-29;561.2
2010-04-29;8515.75
2010-04-29;2041.5
2010-04-29;592.88
2010-04-29;8181.4
2010-04-29;31449.75
2010-04-29;13963.45
2010-04-30;6428.2
2010-04-30;6547.65
2010-04-30;8729.45
2010-05-01;4213.49
2010-05-01;8507.62
2010-05-03;17331.45
2010-05-04;7988.17
2010-05-04;27530.19
2010-05-05;7079.4
2010-05-06;7437.86
2010-05-06;6886.28
2010-05-07;11406.59
2010-05-07;33336.73
2010-05-08;25.75
2010-05-10;13131.08
2010-05-11;5427.77
2010-05-11;17530.74
2010-05-12;50006.06
2010-05-12;7619.28
2010-05-12;184.63
2010-05-12;124.23
2010-05-12;462.73
2010-05-12;141.65
2010-05-12;54.18
2010-05-13;1135.43
2010-05-13;5394.03
2010-05-13;4706.15
2010-05-13;19455.46
2010-05-13;282.28
2010-05-13;9441.55
2010-05-14;73.42
2010-05-14;6435.9
2010-05-14;7570.54
2010-05-15;3818.84
2010-05-15;1713.2
2010-05-15;15212.45
2010-05-17;13621.29
2010-05-17;1712.7
2010-05-18;5114.1
2010-05-19;6296.99
2010-05-20;6365.99
2010-05-21;3216.53
2010-05-21;2173.08
2010-05-21;6277.46
2010-05-21;8494.12
2010-05-21;17774.09
2010-05-24;12389.79
2010-05-25;3754.03
2010-05-25;5412.05
2010-05-25;67.89
2010-05-25;83.17
2010-05-25;585.69
2010-05-25;644.25
2010-05-25;12692.66
2010-05-25;11976.17
2010-05-25;15870.4
2010-05-26;6570.8
2010-05-26;14856.92
2010-05-26;8285.59
2010-05-27;6982.19
2010-05-27;5901.82
2010-05-27;8408.75
2010-05-27;8401.22
2010-05-27;87.21
2010-05-27;9501.73
2010-05-27;4076.68
2010-05-27;625.27
2010-05-27;3336.94
2010-05-27;7342.42
2010-05-27;223.73
2010-05-27;11488.17
2010-05-27;7955.37
2010-05-27;9420.05
2010-05-27;474.98
2010-05-27;10124.41
2010-05-27;11406.36
2010-05-27;13535.72
2010-05-27;15830.34
2010-05-27;10059.54
2010-05-27;503.96
2010-05-27;2241.83
2010-05-27;6982.19
2010-05-27;1972.53
2010-05-27;585.48
2010-05-28;7843.09
2010-05-28;28155.35
2010-05-28;557.5
2010-05-28;4469.17
2010-05-28;7843.99
2010-05-28;4619.06
2010-05-28;4619.06
2010-05-28;3442.44
2010-05-29;6105.78
2010-05-29;8725.49
2010-05-29;8523.6
2010-05-29;613.48
2010-05-29;6622.41
2010-05-29;7536.69
2010-05-29;330.81
2010-05-29;545.6
2010-05-29;77.19
2010-06-01;20192.93
2010-06-02;6481.6
2010-06-02;271.61
2010-06-02;292.01
2010-06-02;42.01
2010-06-02;28.21
2010-06-02;42.25
2010-06-02;674.97
2010-06-02;112.81
2010-06-02;86.71
2010-06-02;40.07
2010-06-02;230.39
2010-06-02;38.19
2010-06-02;44.72
2010-06-02;425.5
2010-06-02;47.35
2010-06-02;74.65
2010-06-02;115.51
2010-06-02;170.4
2010-06-03;15907.34
2010-06-03;2930.57
2010-06-03;2501.66
2010-06-03;15907.34
2010-06-03;94.82
2010-06-03;25.26
2010-06-03;47.08
2010-06-03;58.27
2010-06-03;13213.87
2010-06-03;58.64
2010-06-03;56.78
2010-06-03;45.42
2010-06-03;211.13
2010-06-03;63.91
2010-06-03;30.8
2010-06-03;39.82
2010-06-03;33.48
2010-06-03;49.96
2010-06-03;151.3
2010-06-03;60.55
2010-06-03;216.73
2010-06-03;26.77
2010-06-03;303.89
2010-06-03;459.63
2010-06-03;129.21
2010-06-03;53.75
2010-06-03;59.29
2010-06-03;376.53
2010-06-03;110.01
2010-06-03;161.31
2010-06-03;62.1
2010-06-03;1235.55
2010-06-03;58.88
2010-06-03;175.59
2010-06-03;70.04
2010-06-03;74.47
2010-06-03;293.76
2010-06-03;101.33
2010-06-03;175.9
2010-06-03;104.63
2010-06-03;84.05
2010-06-03;40.18
2010-06-03;253.13
2010-06-03;39.16
2010-06-03;60.05
2010-06-03;56.45
2010-06-04;72.85
2010-06-04;454.05
2010-06-04;36.43
2010-06-04;121.73
2010-06-04;205.65
2010-06-04;62.94
2010-06-04;310.55
2010-06-04;29.12
2010-06-04;49.98
2010-06-04;87.01
2010-06-04;62.28
2010-06-04;46.15
2010-06-04;28.38
2010-06-04;48.76
2010-06-04;1107.57
2010-06-04;43.09
2010-06-04;84.12
2010-06-04;55.77
2010-06-04;48.59
2010-06-04;46.55
2010-06-04;126.05
2010-06-04;114.16
2010-06-05;3759.52
2010-06-05;57.88
2010-06-05;3759.52
2010-06-05;5496.68
2010-06-05;473.65
2010-06-05;50.6
2010-06-05;155.51
2010-06-05;425.38
2010-06-07;13643.41
2010-06-08;5793.38
2010-06-08;12390.15
2010-06-08;28.83
2010-06-08;54.96
2010-06-08;121.46
2010-06-08;402.91
2010-06-08;250.31
2010-06-08;17905.8
2010-06-09;3435.8
2010-06-09;11794.45
2010-06-09;8951.66
2010-06-09;10369.88
2010-06-09;10092.4
2010-06-09;8347.86
2010-06-09;2203.85
2010-06-09;11723.13
2010-06-09;372.74
2010-06-09;255.68
2010-06-09;100.25
2010-06-09;1079.92
2010-06-09;107.07
2010-06-09;584.74
2010-06-09;30.55
2010-06-09;62
2010-06-09;173.69
2010-06-09;624.71
2010-06-09;205.88
2010-06-09;89.28
2010-06-09;128.83
2010-06-09;33.3
2010-06-09;50.88
2010-06-09;344.93
2010-06-09;302.42
2010-06-09;627.03
2010-06-09;59.32
2010-06-09;392.12
2010-06-09;282.82
2010-06-09;731.83
2010-06-09;575.67
2010-06-09;179.04
2010-06-09;324.23
2010-06-09;560.22
2010-06-09;81.25
2010-06-10;5945.98
2010-06-10;17733.39
2010-06-10;37.14
2010-06-10;158.87
2010-06-10;205.61
2010-06-10;65.39
2010-06-10;35.79
2010-06-10;71.43
2010-06-10;77.98
2010-06-10;100.47
2010-06-10;31.11
2010-06-10;57.88
2010-06-10;56.26
2010-06-10;149.6
2010-06-10;211.13
2010-06-10;630.09
2010-06-10;753.01
2010-06-11;55.12
2010-06-11;72.03
2010-06-11;167.97
2010-06-11;66.64
2010-06-11;58.49
2010-06-11;54.74
2010-06-11;40.39
2010-06-11;137.45
2010-06-11;43.04
2010-06-11;164.05
2010-06-11;50.22
2010-06-11;81.1
2010-06-11;73.66
2010-06-11;40.13
2010-06-11;57.5
2010-06-11;53.95
2010-06-11;175.5
2010-06-11;103.69
2010-06-11;27.37
2010-06-11;63.68
2010-06-11;145.92
2010-06-11;37.98
2010-06-11;45.32
2010-06-11;43.83
2010-06-11;71.14
2010-06-11;64.08
2010-06-11;62.74
2010-06-11;43.03
2010-06-11;134.18
2010-06-11;34.38
2010-06-11;45.5
2010-06-11;36.51
2010-06-11;74.6
2010-06-11;26.55
2010-06-11;46.45
2010-06-11;39.5
2010-06-11;38.69
2010-06-11;114.46
2010-06-11;34.86
2010-06-11;40.68
2010-06-11;41579.28
2010-06-11;86.31
2010-06-11;46.59
2010-06-11;55.22
2010-06-11;87.28
2010-06-11;107.14
2010-06-11;6094.9
2010-06-11;31.68
2010-06-11;72.38
2010-06-11;87.99
2010-06-11;27.51
2010-06-11;37.51
2010-06-11;29.78
2010-06-11;54.73
2010-06-11;55.73
2010-06-11;79.66
2010-06-11;28
2010-06-11;64.97
2010-06-11;349.45
2010-06-11;343.05
2010-06-11;262.89
2010-06-12;341.06
2010-06-12;4993.97
2010-06-12;10356.63
2010-06-12;20581.13
2010-06-12;40.79
2010-06-12;111.5
2010-06-12;30.06
2010-06-12;73.22
2010-06-12;78.78
2010-06-12;41.05
2010-06-12;40.36
2010-06-12;93.66
2010-06-12;60.61
2010-06-12;38.73
2010-06-12;128.95
2010-06-12;94.88
2010-06-12;384
2010-06-12;43.43
2010-06-12;26.29
2010-06-12;37.2
2010-06-12;36.8
2010-06-12;28.02
2010-06-12;1243.04
2010-06-12;54.39
2010-06-12;40.77
2010-06-12;69.09
2010-06-12;48.46
2010-06-12;46.06
2010-06-12;51.15
2010-06-12;525.03
2010-06-12;265.25
2010-06-12;266.44
2010-06-12;482.75
2010-06-12;367.11
2010-06-12;171.24
2010-06-12;725.24
2010-06-12;88.67
2010-06-12;272.56
2010-06-12;143.08
2010-06-12;242.79
2010-06-12;295.55
2010-06-12;455.22
2010-06-12;362.33
2010-06-12;227.88
2010-06-12;37.9
2010-06-12;216.47
2010-06-12;928.37
2010-06-14;9408.55
2010-06-14;204.15
2010-06-15;5790.11
2010-06-15;8751.21
2010-06-16;4121.02
2010-06-16;17820.71
2010-06-16;12880.41
2010-06-16;10591.83
2010-06-16;240.92
2010-06-16;72.15
2010-06-16;133.07
2010-06-16;3848.34
2010-06-16;3754.03
2010-06-16;1943.03
2010-06-16;419.17
2010-06-16;684.86
2010-06-16;418.35
2010-06-16;205.11
2010-06-16;474.11
2010-06-16;898.19
2010-06-16;317.73
2010-06-16;532.75
2010-06-16;318.14
2010-06-16;130.43
2010-06-16;304.42
2010-06-16;254.61
2010-06-16;258.03
2010-06-16;166.57
2010-06-16;85.45
2010-06-16;527.86
2010-06-16;523.79
2010-06-16;677.71
2010-06-16;446.8
2010-06-16;145.07
2010-06-16;87.7
2010-06-16;53.08
2010-06-16;186.56
2010-06-17;4436.24
2010-06-17;592.17
2010-06-17;206.99
2010-06-17;327.12
2010-06-17;412.5
2010-06-17;240.45
2010-06-17;84.56
2010-06-17;147.41
2010-06-17;279.49
2010-06-17;175.03
2010-06-17;564.62
2010-06-17;120.11
2010-06-17;250.61
2010-06-17;295.57
2010-06-17;116.65
2010-06-17;175.46
2010-06-17;116.37
2010-06-17;197.23
2010-06-17;418.89
2010-06-17;554.19
2010-06-17;189.68
2010-06-18;84.96
2010-06-18;608.22
2010-06-18;636.31
2010-06-18;63.35
2010-06-18;870.37
2010-06-18;105.85
2010-06-18;198.17
2010-06-18;804.82
2010-06-18;429.04
2010-06-18;113.61
2010-06-18;83.68
2010-06-18;567.16
2010-06-18;4.02
2010-06-18;12.51
2010-06-19;2312.95
2010-06-19;19881.25
2010-06-19;1094.92
2010-06-19;114.99
2010-06-19;72.84
2010-06-19;295.66
2010-06-19;665.61
2010-06-19;1169.48
2010-06-19;94.46
2010-06-19;550.64
2010-06-19;226.84
2010-06-19;312
2010-06-19;132.35
2010-06-19;278.58
2010-06-19;114.26
2010-06-19;580.74
2010-06-21;5509.95
2010-06-21;585.48
2010-06-22;5142.05
2010-06-22;3901.29
2010-06-22;10697.82
2010-06-23;5009.74
2010-06-23;7287.96
2010-06-23;10896.58
2010-06-23;197.15
2010-06-23;256.43
2010-06-23;292.5
2010-06-23;208.67
2010-06-23;422.95
2010-06-23;158.6
2010-06-23;72.31
2010-06-23;84.61
2010-06-23;380.18
2010-06-23;232.54
2010-06-23;372.95
2010-06-23;106.85
2010-06-23;81.92
2010-06-23;277.41
2010-06-23;101.19
2010-06-23;87.19
2010-06-24;4761.2
2010-06-24;67.38
2010-06-24;8923.99
2010-06-24;326.82
2010-06-24;35.3
2010-06-24;25.47
2010-06-24;472.21
2010-06-24;224.86
2010-06-24;549.63
2010-06-24;76.61
2010-06-24;85.4
2010-06-24;159.28
2010-06-24;131.16
2010-06-24;199.69
2010-06-24;120.61
2010-06-24;442.08
2010-06-24;10890.93
2010-06-24;4240.69
2010-06-24;6768.37
2010-06-24;3655.75
2010-06-25;13928.19
2010-06-25;18406.76
2010-06-25;294.6
2010-06-25;190.74
2010-06-25;116.69
2010-06-25;226.08
2010-06-25;196.74
2010-06-25;32.76
2010-06-25;353.77
2010-06-26;62.88
2010-06-26;41.92
2010-06-26;122
2010-06-26;57.55
2010-06-26;39.7
2010-06-26;210.66
2010-06-26;55.4
2010-06-26;127.02
2010-06-26;20.48
2010-06-26;10851.26
2010-06-28;12204.32
2010-06-28;9310.88
2010-06-28;8646.43
2010-06-28;69.72
2010-06-28;9567.63
2010-06-28;4410.1
2010-06-28;544.21
2010-06-28;3620.18
2010-06-28;7763.62
2010-06-28;11808.46
2010-06-28;8392.29
2010-06-28;11045.41
2010-06-28;10415.74
2010-06-28;12906.26
2010-06-28;13910.91
2010-06-28;16770.52
2010-06-28;10688.4
2010-06-28;228.26
2010-06-28;437.39
2010-06-28;505.78
2010-06-29;7471.02
2010-06-29;2981.43
2010-06-29;1899.13
2010-06-29;19173.63
2010-06-29;613.18
2010-06-29;5509.68
2010-06-29;50.56
2010-06-29;23.62
2010-06-29;59.29
2010-06-29;46.65
2010-06-29;50.01
2010-06-29;593.15
2010-06-30;5766.78
2010-06-30;11138.66
2010-06-30;1109.6
2010-06-30;10432.3
2010-06-30;7694.65
2010-06-30;35.65
2010-06-30;349.2
2010-06-30;111.81
2010-06-30;96.59
2010-06-30;31.31
2010-06-30;75.65
2010-06-30;116.09
2010-06-30;52.79
2010-06-30;39.47
2010-06-30;8.11
2010-06-30;39.1
2010-06-30;131.71
2010-06-30;17.19
2010-06-30;33.67
2010-06-30;33.17
2010-06-30;18.62
2010-06-30;26.31
2010-06-30;24.35
2010-06-30;8.57
2010-06-30;21.98
2010-06-30;32.46
2010-06-30;28.85
2010-06-30;58.78
2010-06-30;42.69
2010-07-01;4876.56
2010-07-01;2022.47
2010-07-01;22.52
2010-07-01;27.31
2010-07-01;18.62
2010-07-01;150.24
2010-07-01;102.63
2010-07-01;34.19
2010-07-01;23.83
2010-07-01;51.59
2010-07-01;44.9
2010-07-01;57.38
2010-07-02;361
2010-07-02;14.83
2010-07-02;44.04
2010-07-02;68.14
2010-07-02;9.27
2010-07-02;39.18
2010-07-02;41.34
2010-07-02;57.14
2010-07-02;19.48
2010-07-02;16.66
2010-07-02;76.78
2010-07-03;1243.04
2010-07-03;64.83
2010-07-03;28.52
2010-07-03;51.07
2010-07-03;97.53
2010-07-03;45.68
2010-07-03;31.98
2010-07-03;26.91
2010-07-03;43.14
2010-07-06;17075.73
2010-07-07;5426.33
2010-07-07;18744.74
2010-07-07;15086.36
2010-07-07;3818.86
2010-07-07;64.08
2010-07-07;50.89
2010-07-07;4.44
2010-07-07;27.56
2010-07-07;19.31
2010-07-07;89.35
2010-07-07;37.01
2010-07-07;18.9
2010-07-07;49.93
2010-07-07;47.93
2010-07-07;20.34
2010-07-07;36.26
2010-07-07;16.64
2010-07-07;63.84
2010-07-07;200.85
2010-07-07;31.99
2010-07-08;5292.26
2010-07-08;15494.35
2010-07-08;66.75
2010-07-08;82.37
2010-07-08;66.6
2010-07-08;51.27
2010-07-08;42.34
2010-07-08;37.74
2010-07-08;30.39
2010-07-08;20.47
2010-07-08;7.95
2010-07-08;40.89
2010-07-08;264.1
2010-07-08;188.97
2010-07-08;19.14
2010-07-08;9.29
2010-07-08;36.6
2010-07-08;78.57
2010-07-08;64.08
2010-07-08;53.16
2010-07-09;14039.68
2010-07-09;10765.31
2010-07-09;12404.04
2010-07-09;13659.86
2010-07-09;10991.16
2010-07-09;10318.75
2010-07-09;2575.56
2010-07-09;65.98
2010-07-09;61.83
2010-07-09;110.04
2010-07-09;118.02
2010-07-09;48.01
2010-07-09;77.25
2010-07-09;36.02
2010-07-09;26.87
2010-07-09;15.87
2010-07-09;12.35
2010-07-09;19.27
2010-07-09;23.56
2010-07-09;82.07
2010-07-09;37.98
2010-07-10;39.5
2010-07-10;22061.86
2010-07-10;41.8
2010-07-10;36.51
2010-07-10;79.66
2010-07-10;28
2010-07-10;85.56
2010-07-10;80.76
2010-07-10;44.81
2010-07-10;30.22
2010-07-10;36.64
2010-07-10;19.41
2010-07-10;19.47
2010-07-10;21.86
2010-07-10;25.02
2010-07-11;35.42
